id;name;Aadress;X;y
13319;Hugo Treffneri Gümnaasium;Tartu maakond, Tartu linn, Munga tn 12;659101;6474537
13373;Hummuli Põhikool;Valga maakond, Hummuli vald, Hummuli alevik;622086;6420216
12654;Hummuli Valla Lasteaed Sipsik;Valga maakond, Hummuli vald, Hummuli alevik, Koolitare;622083.1957;6420224.161
12811;Huvikool Põlvkond;Harju maakond, Tallinna linn, Põhja-Tallinna linnaosa, Kaera tn 21;539952.0028;6589859.965
12408;Häädemeeste Keskkool;Pärnu maakond, Häädemeeste vald, Häädemeeste alevik, Kooli tn 10;529233;6437551
12437;Häädemeeste Lasteaed;Pärnu maakond, Häädemeeste vald, Häädemeeste alevik, Lasteaia tn 4;529320.026;6437867.052
12159;Ida-Virumaa Juudi Kogukond Pühapäevakool;Ida-Viru maakond, Kohtla-Järve linn, Järve linnaosa, Järveküla tee 39;685832.0251;6588861.976
12166;Iisaku Gümnaasium;Ida-Viru maakond, Iisaku vald, Iisaku alevik, Tartu mnt 62;689766;6555339
12157;Iisaku Lasteaed Kurekell;Ida-Viru maakond, Iisaku vald, Iisaku alevik, Tartu mnt 56;689734.9404;6555625.96
12107;Illuka Kool;Ida-Viru maakond, Illuka vald, Illuka küla, Hariduse;699343;6571690
13337;"Ilmatsalu Lasteaed ""Lepatriinu""";Tartu maakond, Tähtvere vald, Ilmatsalu alevik, Pargi tee 4;649577.0506;6474710.063
13338;Ilmatsalu Põhikool;Tartu maakond, Tähtvere vald, Ilmatsalu alevik, Kooli tee 5;649774;6474455
13330;Iluravi Rahvusvaheline Erakool;Tartu maakond, Tartu linn, Anne tn 53a;661200.0653;6474014.946
12261;Imavere Lasteaed Mõmmi;Järva maakond, Imavere vald, Imavere küla, Antsu tee 4;602506.3899;6511970.308
12262;Imavere Põhikool;Järva maakond, Imavere vald, Imavere küla, Kiigevere tee 5;602401;6511561
12937;International House Tallinn;Harju maakond, Tallinna linn, Põhja-Tallinna linnaosa, Põhja pst 27;542494.9717;6589839.939
13420;J.V.Veski nim. Maarja Põhikool;Jõgeva maakond, Tabivere vald, Maarja-Magdaleena küla, Maarja põhikool;659089;6500888
12308;Jaagu Lasteaed-Põhikool;Viljandi maakond, Pärsti vald, Jämejala küla, Kase tee 2;592243;6472295
24132;Jakob Westholmi Gümnaasiumi algklasside maja;Harju maakond, Tallinna linn, Kesklinna linnaosa, Luise tn 38;541349;6588219
13093;Jakob Westholmi Gümnaasium;Harju maakond, Tallinna linn, Kesklinna linnaosa, Kevade tn 8;541494;6588629
12887;Jalgpalliklubi FCF Järvamaa Jalgpallikool;Harju maakond, Tallinn, Asula 4 c;541559;6587277
13501;Johannese Kool ja Lasteaed Rosmal;Põlva maakond, Põlva vald, Rosma küla, Värska mnt 4;681397;6437611
13208;Juhan Liivi nim. Alatskivi Keskkool;Tartu maakond, Alatskivi vald, Alatskivi alevik, Kooli tn 1;682231;6499785
12152;Juuksurite Erakool Maridel;Ida-Viru maakond, Jõhvi vald, Jõhvi linn, Sompa tn 1a;693776.0514;6584994.975
12420;Juurikaru Põhikool;Pärnu maakond, Vändra vald, Säästla küla, Juurikaru kool;563821;6500231
12584;Juuru Eduard Vilde Kool;Rapla maakond, Juuru vald, Juuru alevik, Tallinna mnt 18;555033;6547173
12563;Juuru Lasteaed Sinilill;Rapla maakond, Juuru vald, Juuru alevik, Muuseumi tn 3;555373.0032;6546818.002
13384;Jõgeva Aleviku Lasteaed;Jõgeva maakond, Jõgeva linn, Aamisepa tn 6;639052.9825;6514897.081
